Attirbutes,semantic attribute,part,with_sideview_mirror,113020
Attirbutes,semantic attribute,part,with_license_plate,113021
Attirbutes,semantic attribute,part,with_saddle,113022
Attirbutes,semantic attribute,part,with_a_chair,113023
Attirbutes,semantic attribute,part,with_handle,113024
Attirbutes,semantic attribute,part,with_headlights,113025
Attirbutes,semantic attribute,part,with_wheels,113026
Attirbutes,semantic attribute,part,with_propeller,113027
Attirbutes,semantic attribute,part,with_oar,113028
Attirbutes,semantic attribute,part,with_sail,113029
Attirbutes,semantic attribute,part,line_connected,113030
Attirbutes,semantic attribute,part,with_tail,113031
Attirbutes,semantic attribute,part,with_button,113032
Attirbutes,semantic attribute,part,with_support,113033
Attirbutes,semantic attribute,part,with_flower,113034
Attirbutes,semantic attribute,part,with_straw,113035
Attirbutes,semantic attribute,part,with_lid,113036
Attirbutes,semantic attribute,part,with_armrests,113037
Attirbutes,semantic attribute,part,with_backrest,113038
Attirbutes,semantic attribute,part,with_cushions,113039
Attirbutes,semantic attribute,part,branched,113040
Attirbutes,semantic attribute,part,with_root,113041
Attirbutes,semantic attribute,part,with_antenna,113042
Attirbutes,semantic attribute,part,with_screen,113043
Attirbutes,semantic attribute,part,with_faucet,113044
Attirbutes,semantic attribute,part,with_clock_hands,113045
Attirbutes,semantic attribute,part,with_lamp,113046
Attirbutes,semantic attribute,part,fabric,113047
Attirbutes,semantic attribute,part,wooden,113048
Attirbutes,semantic attribute,part,metallic,113049
Attirbutes,semantic attribute,part,with_rocks,113050
Attirbutes,semantic attribute,part,with_crosswalk,113051
Attirbutes,semantic attribute,part,grassed,113052
Attirbutes,semantic attribute,part,with_bricks,113053
Attirbutes,semantic attribute,part,flower,113054
Attirbutes,semantic attribute,part,wave_crashing,113055
Attirbutes,semantic attribute,part,with_chimney,113056
Attirbutes,semantic attribute,part,pillared,113057
Attirbutes,semantic attribute,part,with_a_roof,113058
Attirbutes,semantic attribute,part,with_clouds,113059
Attirbutes,semantic attribute,part,with_a_terrace,113060
Attirbutes,semantic attribute,part,slanting,113061
Attirbutes,semantic attribute,part,grassy,113062
Attirbutes,semantic attribute,part,high,113063
Attirbutes,semantic attribute,part,low,113064
Attirbutes,semantic attribute,part,large,113065
Attirbutes,semantic attribute,part,small,113066
Attirbutes,semantic attribute,part,wide,113067
Attirbutes,semantic attribute,part,narrow,113068
Attirbutes,semantic attribute,part,straight,113069
Attirbutes,semantic attribute,part,bending,113070
Attirbutes,semantic attribute,part,with_signage,113071
Attirbutes,semantic attribute,texture_material,metallic,114001
Attirbutes,semantic attribute,texture_material,plastic,114002
Attirbutes,semantic attribute,texture_material,wooden,114003
Attirbutes,semantic attribute,texture_material,rubber,114004
Attirbutes,semantic attribute,texture_material,fabric,114005
Attirbutes,semantic attribute,texture_material,leather,114006
Attirbutes,semantic attribute,texture_material,paper,114007
Attirbutes,semantic attribute,texture_material,glass,114008
Attirbutes,semantic attribute,texture_material,ceramic,114009
Attirbutes,semantic attribute,texture_material,stone,114010
Attirbutes,semantic attribute,texture_material,concrete,114011
Attirbutes,semantic attribute,texture_status,dirty,114012
Attirbutes,semantic attribute,texture_status,colorful,114013
Attirbutes,semantic attribute,texture_status,shiny,114014
Attirbutes,semantic attribute,texture_status,solid,114015
